nom_emplacement_trouve;CAT_JOUR;TRNC_HORR_60;heure;latitude;longitude;Pourcentage_validations;ligne;mode;exploitant;terval;idf;principale;nb_lignes;lignes_detail
ÉPÔNE-MÉZIÈRES;JOVS;6H-7H;6;48.96334411275809;1.8090945087737835;12.08;TRAIN J / TRAIN N;TRAIN;SNCF;0;1;0;2;TRAIN J / TRAIN N
ÉPÔNE-MÉZIÈRES;SAHV;16H-17H;16;48.96334411275809;1.8090945087737835;6.8;TRAIN J / TRAIN N;TRAIN;SNCF;0;1;0;2;TRAIN J / TRAIN N
ÉPÔNE-MÉZIÈRES;SAHV;18H-19H;18;48.96334411275809;1.8090945087737835;4.44;TRAIN J / TRAIN N;TRAIN;SNCF;0;1;0;2;TRAIN J / TRAIN N
ÉPÔNE-MÉZIÈRES;SAHV;20H-21H;20;48.96334411275809;1.8090945087737835;2.65;TRAIN J / TRAIN N;TRAIN;SNCF;0;1;0;2;TRAIN J / TRAIN N
ÉPÔNE-MÉZIÈRES;SAHV;23H-0H;23;48.96334411275809;1.8090945087737835;0.27;TRAIN J / TRAIN N;TRAIN;SNCF;0;1;0;2;TRAIN J / TRAIN N
ÉPÔNE-MÉZIÈRES;SAHV;7H-8H;7;48.96334411275809;1.8090945087737835;5.26;TRAIN J / TRAIN N;TRAIN;SNCF;0;1;0;2;TRAIN J / TRAIN N
ÉPÔNE-MÉZIÈRES;SAHV;9H-10H;9;48.96334411275809;1.8090945087737835;6.95;TRAIN J / TRAIN N;TRAIN;SNCF;0;1;0;2;TRAIN J / TRAIN N
ÉPÔNE-MÉZIÈRES;SAVS;12H-13H;12;48.96334411275809;1.8090945087737835;8.29;TRAIN J / TRAIN N;TRAIN;SNCF;0;1;0;2;TRAIN J / TRAIN N
ÉPÔNE-MÉZIÈRES;SAVS;14H-15H;14;48.96334411275809;1.8090945087737835;7.4;TRAIN J / TRAIN N;TRAIN;SNCF;0;1;0;2;TRAIN J / TRAIN N
ÉPÔNE-MÉZIÈRES;SAVS;5H-6H;5;48.96334411275809;1.8090945087737835;2.06;TRAIN J / TRAIN N;TRAIN;SNCF;0;1;0;2;TRAIN J / TRAIN N
ÉPÔNE-MÉZIÈRES;SAVS;9H-10H;9;48.96334411275809;1.8090945087737835;7.4;TRAIN J / TRAIN N;TRAIN;SNCF;0;1;0;2;TRAIN J / TRAIN N
ÉRAGNY-NEUVILLE;DIJFP;23H-0H;23;49.01768620964943;2.090181620991014;0.41;TRAIN J;TRAIN;SNCF;0;1;0;1;TRAIN J
ÉRAGNY-NEUVILLE;DIJFP;6H-7H;6;49.01768620964943;2.090181620991014;2.65;TRAIN J;TRAIN;SNCF;0;1;0;1;TRAIN J
ÉRAGNY-NEUVILLE;DIJFP;8H-9H;8;49.01768620964943;2.090181620991014;6.92;TRAIN J;TRAIN;SNCF;0;1;0;1;TRAIN J
